[INFO] 2025-12-16 21:02:23,479 basehttp 19280 20544 - "POST /tickets/create/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:02:23,554 basehttp 19280 20544 - "GET /tickets/61/ HTTP/1.1" 200 52460
[INFO] 2025-12-16 21:02:23,646 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:02:36,486 basehttp 19280 20544 - "GET /tickets/ HTTP/1.1" 200 113314
[INFO] 2025-12-16 21:02:36,623 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:02:44,522 basehttp 19280 20544 - "GET /tickets/61/ HTTP/1.1" 200 52199
[INFO] 2025-12-16 21:02:44,635 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:02:59,612 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:03:03,517 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:03:04,007 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:03:04,036 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:03:05,540 basehttp 19280 10616 - "POST /accounts/logout/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:03:05,550 basehttp 19280 10616 - "GET /accounts/login/ HTTP/1.1" 200 46498
[INFO] 2025-12-16 21:03:05,607 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:03:05,630 basehttp 19280 10616 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:03:20,612 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:03:20,621 basehttp 19280 10616 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:03:26,101 basehttp 19280 10616 - "POST /accounts/login/ HTTP/1.1" 200 46749
[INFO] 2025-12-16 21:03:26,145 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:03:26,166 basehttp 19280 10616 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:03:41,977 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:03:41,983 basehttp 19280 10616 - "GET /accounts/login/?next=/notifications/api/ HTTP/1.1" 200 46517
[INFO] 2025-12-16 21:03:54,525 basehttp 19280 10616 - "POST /accounts/login/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:03:54,613 basehttp 19280 10616 - "GET / HTTP/1.1" 302 0
[INFO] 2025-12-16 21:03:54,656 basehttp 19280 10616 - "GET /acknowledge/ HTTP/1.1" 200 50030
[INFO] 2025-12-16 21:03:54,733 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:03:54,834 basehttp 19280 10616 - "GET /acknowledge/ HTTP/1.1" 200 50030
[INFO] 2025-12-16 21:04:00,249 basehttp 19280 10616 - "POST /acknowledge/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:04:00,304 basehttp 19280 10616 - "GET / HTTP/1.1" 200 49057
[INFO] 2025-12-16 21:04:00,397 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:04:04,012 basehttp 19280 10616 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:04:04,047 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:04:05,723 basehttp 19280 20544 - "GET /tickets/61/ HTTP/1.1" 200 53426
[INFO] 2025-12-16 21:04:05,810 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:04:20,807 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:04:22,729 basehttp 19280 20544 - "GET /tickets/61/acknowledge/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:04:22,792 basehttp 19280 20544 - "GET /tickets/61/ HTTP/1.1" 200 53426
[INFO] 2025-12-16 21:04:22,876 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:04:25,129 basehttp 19280 20544 - "GET /tickets/61/acknowledge/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:04:25,183 basehttp 19280 20544 - "GET /tickets/61/ HTTP/1.1" 200 53426
[INFO] 2025-12-16 21:04:25,268 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:04:40,267 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 200 33
[INFO] 2025-12-16 21:04:42,516 basehttp 19280 20544 - "POST /accounts/logout/ HTTP/1.1" 302 0
[INFO] 2025-12-16 21:04:42,524 basehttp 19280 20544 - "GET /accounts/login/ HTTP/1.1" 200 46498
[INFO] 2025-12-16 21:04:42,574 basehttp 19280 20544 - "GET /notifications/api/ HTTP/1.1" 302 0
